MalePatients,FemalePatients,ColonCancerPatients,ThroatCancerPatients,SkinCancerPatients,CancerConditions
107,327,33,,46,Remission
486,,46,5,12,Remission
160,149,47,6,22,Progressing
178,287,38,43,9,Progressing
386,318,47,17,13,Progressing
243,370,23,42,2,Remission
462,449,35,28,11,Stable
389,135,27,18,24,Progressing
375,369,47,24,0,Progressing
,81,48,3,31,Stable
78,385,33,12,23,Remission
161,100,15,31,47,Progressing
484,,35,26,41,Remission
210,235,6,33,8,Progressing
180,,,27,,Progressing
237,485,5,8,,Stable
212,155,49,7,41,Stable
246,112,27,20,38,Stable
413,125,38,45,9,Stable
253,365,33,29,43,Remission
261,370,40,28,42,Remission
158,422,28,8,40,Remission
325,130,3,12,29,Stable
122,,13,17,4,Progressing
216,177,4,37,3,Remission
309,232,24,21,44,Stable
292,292,38,30,7,Stable
324,234,7,34,15,Stable
151,269,14,41,0,Remission
222,120,18,41,48,Progressing
220,391,10,9,14,Remission
,203,19,8,23,Stable
446,,35,30,14,Stable
237,189,17,43,49,Stable
490,,13,39,5,Remission
135,95,37,23,1,Progressing
101,96,24,40,4,Remission
160,128,15,48,38,Stable
486,471,17,7,40,Stable
,198,,49,33,Stable
391,447,39,19,38,Remission
92,179,0,16,31,Remission
260,176,0,27,,Remission
249,414,20,5,28,Stable
,168,24,,23,Remission
395,406,,32,,Progressing
289,466,9,27,,Progressing
164,311,49,0,23,Progressing
75,293,11,40,14,Remission
456,,27,,11,Stable
348,152,,23,19,Stable
126,86,31,5,3,Stable
461,191,,6,12,Stable
186,86,7,8,40,Stable
69,57,41,36,43,Remission
489,280,,15,,Progressing
260,382,41,33,40,Remission
289,446,49,,22,Stable
,,40,34,6,Remission
484,156,1,19,11,Remission
317,397,34,22,47,Remission
256,491,33,41,14,Stable
488,67,5,34,6,Stable
316,362,,46,7,Stable
,132,22,45,6,Remission
91,471,11,22,42,Remission
460,337,27,3,3,Progressing
60,243,14,9,49,Progressing
343,264,18,42,6,Stable
147,330,11,10,44,Progressing
476,269,49,39,40,Stable
324,491,47,8,29,Stable
497,338,1,39,17,Remission
,393,10,11,29,Progressing
479,243,43,16,6,Stable
421,207,36,31,47,Stable
279,153,37,,22,Progressing
418,,24,14,36,Progressing
475,151,42,27,6,Progressing
269,176,,37,37,Progressing
114,263,41,4,28,Progressing
,374,35,,33,Progressing
281,,8,,38,Progressing
377,345,11,,40,Stable
492,228,,14,44,Remission
101,129,45,2,48,Stable
423,190,4,,48,Stable
480,80,32,25,46,Remission
425,421,4,,17,Remission
312,472,15,,46,Remission
316,112,36,19,42,Progressing
,97,36,20,24,Progressing
366,136,28,25,26,Progressing
373,353,17,40,26,Stable
,110,28,22,11,Remission
445,445,5,48,22,Remission
203,383,,24,16,Stable
407,489,31,3,43,Progressing
415,323,41,9,6,Remission
189,460,46,21,23,Stable
476,333,,2,,Progressing
100,129,,18,28,Stable
166,229,25,30,27,Progressing
470,321,27,8,22,Stable
95,126,26,,9,Progressing
358,491,,36,15,Stable
137,270,44,45,,Stable
257,442,26,6,,Stable
426,331,19,37,33,Stable
318,77,2,23,24,Remission
138,410,15,7,1,Remission
430,126,38,33,,Remission
167,,43,25,4,Remission
103,58,,27,13,Stable
490,224,14,27,30,Remission
165,356,29,45,39,Remission
167,125,39,6,5,Stable
,,48,2,27,Remission
124,171,0,21,8,Remission
354,234,28,37,5,Progressing
56,81,,45,16,Remission
,299,39,43,39,Progressing
171,106,45,17,34,Remission
60,359,31,11,11,Stable
397,421,9,30,44,Remission
,193,26,38,17,Stable
264,367,7,,42,Remission
478,133,35,43,33,Remission
328,,41,40,45,Stable
77,328,34,28,0,Stable
284,322,35,42,14,Stable
416,215,47,35,17,Stable
362,207,35,13,21,Progressing
75,298,24,,17,Progressing
,235,19,17,,Stable
103,127,44,6,0,Progressing
78,71,16,,45,Remission
402,157,22,32,19,Remission
213,322,24,44,47,Remission
,301,47,15,35,Progressing
,64,48,36,37,Progressing
,419,30,24,24,Remission
335,353,5,8,15,Stable
397,209,34,,,Remission
322,254,3,8,,Progressing
257,162,39,11,46,Remission
287,217,19,17,32,Remission
463,402,40,26,,Progressing
142,302,0,25,22,Progressing
,490,44,,,Progressing
128,235,25,9,,Progressing
159,396,33,16,39,Remission
266,276,9,31,45,Progressing
484,65,22,23,4,Stable
407,205,48,42,44,Progressing
155,403,23,47,46,Progressing
96,160,12,7,40,Remission
230,50,28,29,7,Stable
113,90,45,25,16,Stable
295,97,26,23,17,Stable
293,464,30,26,49,Progressing
471,469,42,14,26,Remission
369,157,9,27,30,Remission
136,210,30,10,3,Progressing
266,210,38,38,1,Stable
56,408,9,1,4,Stable
327,177,,8,16,Remission
386,259,32,49,38,Progressing
259,200,13,44,31,Stable
218,493,34,22,28,Progressing
379,304,44,32,15,Remission
187,,33,18,0,Progressing
490,79,16,12,11,Progressing
440,94,20,13,18,Progressing
430,129,31,31,8,Progressing
355,88,2,48,47,Stable
279,289,14,,6,Remission
357,94,7,19,29,Stable
210,127,31,32,14,Stable
50,386,37,4,43,Stable
285,445,25,19,3,Stable
486,398,29,13,,Remission
237,,8,26,37,Remission
467,489,31,25,46,Stable
,329,10,31,34,Progressing
450,165,21,29,1,Progressing
181,318,33,26,4,Progressing
476,453,,,7,Progressing
267,384,17,,29,Progressing
309,361,,44,47,Remission
50,102,17,22,18,Progressing
120,,36,43,29,Remission
227,231,17,46,30,Progressing
,83,,23,15,Progressing
340,333,3,3,37,Stable
57,355,46,40,21,Stable
302,435,42,2,32,Stable
457,298,26,42,49,Remission
341,160,4,29,21,Remission
,143,5,46,7,Stable
,459,12,15,36,Stable
172,228,22,6,11,Progressing
348,96,41,38,49,Remission
332,331,,21,4,Progressing
81,389,45,40,24,Progressing
383,411,3,30,,Stable
426,141,31,48,,Progressing
195,425,43,12,25,Progressing
,,14,40,,Stable
462,124,25,40,28,Stable
65,,41,28,11,Progressing
404,,10,27,47,Progressing
96,494,8,43,45,Progressing
,456,10,18,42,Remission
236,470,1,,27,Progressing
80,346,44,46,8,Stable
309,,26,49,9,Progressing
470,260,25,7,47,Remission
66,387,7,24,,Progressing
88,482,20,37,25,Remission
,460,20,,,Remission
479,183,7,34,39,Stable
,379,0,25,10,Progressing
88,115,37,2,5,Remission
181,329,12,1,3,Progressing
79,,8,4,26,Remission
207,77,27,19,23,Stable
,,5,11,4,Stable
252,166,46,,49,Progressing
115,419,22,15,2,Progressing
157,499,47,36,6,Progressing
317,,35,37,23,Progressing
271,479,16,,21,Progressing
341,374,8,45,11,Remission
67,,11,28,34,Progressing
139,124,21,34,16,Remission
230,251,11,48,,Remission
304,476,5,,10,Remission
302,108,43,20,5,Progressing
306,435,,20,42,Stable
432,64,36,,35,Stable
491,280,2,5,16,Progressing
395,154,33,19,21,Progressing
,214,7,35,0,Progressing
139,248,9,12,43,Remission
286,453,46,39,2,Stable
,,40,10,15,Stable
,84,41,,34,Stable
93,211,42,18,13,Stable
249,294,8,22,48,Remission
201,336,13,30,6,Progressing
,432,36,,25,Remission
68,68,,36,42,Progressing
150,329,40,2,47,Progressing
451,389,31,33,30,Stable
144,472,3,28,23,Stable
303,397,1,2,18,Progressing
406,231,32,14,,Progressing
79,472,20,,0,Stable
298,450,0,2,24,Stable
475,196,43,46,9,Stable
82,423,10,42,17,Stable
278,225,0,15,41,Stable
61,,45,44,0,Remission
167,465,10,33,28,Remission
399,224,6,19,,Remission
204,96,,43,3,Stable
472,305,14,38,,Progressing
442,,7,32,,Progressing
295,223,46,13,18,Stable
,152,25,41,,Remission
381,170,39,,43,Progressing
,468,41,10,37,Stable
78,399,,19,15,Remission
210,194,45,29,43,Remission
,91,40,27,24,Remission
,416,40,14,9,Remission
166,78,20,37,,Remission
320,429,37,49,27,Remission
307,322,7,,27,Remission
229,63,42,,24,Remission
422,457,31,34,24,Remission
221,490,7,,11,Remission
487,355,43,23,7,Stable
323,362,9,0,35,Progressing
308,238,22,41,38,Stable
184,409,3,23,23,Progressing
220,344,47,26,22,Stable
259,232,37,17,36,Progressing
285,,29,25,10,Progressing
471,85,,28,16,Progressing
470,419,22,7,27,Stable
,86,4,43,2,Progressing
466,63,20,25,1,Remission
413,460,5,4,28,Progressing
492,172,48,32,33,Stable
144,132,16,39,13,Stable
427,208,24,4,32,Remission
60,378,23,48,47,Progressing
117,151,21,46,46,Stable
428,386,,,17,Progressing
259,132,16,12,28,Remission
245,93,,16,1,Remission
418,117,33,12,10,Stable
147,97,25,24,30,Progressing
142,106,18,1,48,Remission
71,124,25,23,,Remission
,71,2,35,43,Stable
221,,,,25,Remission
432,351,27,33,33,Stable
183,492,1,11,49,Remission
475,467,21,,,Remission
74,316,,49,11,Stable
234,336,3,41,48,Stable
134,,48,,21,Progressing
104,169,37,36,45,Remission
300,295,,42,30,Progressing
193,105,19,0,18,Progressing
400,,5,2,44,Stable
447,,8,48,23,Remission
216,70,30,25,24,Stable
461,159,25,14,34,Remission
273,143,35,45,7,Stable
269,443,25,46,4,Remission
228,459,27,47,21,Progressing
168,,4,27,27,Remission
482,280,9,3,11,Remission
314,57,17,18,32,Stable
491,493,14,23,15,Remission
478,,,39,25,Remission
199,424,4,5,11,Remission
465,339,36,15,,Remission
264,300,39,31,48,Progressing
246,449,21,29,25,Stable
91,410,21,34,40,Remission
102,,21,7,,Stable
,136,14,4,22,Progressing
379,253,16,36,30,Progressing
300,268,44,11,35,Remission
344,,27,24,26,Stable
427,290,21,32,35,Stable
320,460,20,38,46,Stable
462,369,41,23,,Progressing
172,,16,10,22,Progressing
416,158,,41,37,Remission
436,,17,34,2,Stable
388,,16,39,29,Stable
315,269,3,0,31,Progressing
397,132,6,7,14,Remission
78,156,24,22,37,Remission
,118,36,19,10,Remission
55,146,39,31,,Progressing
445,261,,10,25,Stable
160,335,42,6,33,Remission
343,286,8,29,0,Remission
126,57,18,47,10,Stable
398,,8,38,4,Remission
196,238,22,12,25,Progressing
116,130,30,41,5,Remission
441,157,,48,,Stable
57,370,,2,,Progressing
171,116,16,6,8,Remission
389,223,47,42,27,Stable
224,395,38,12,18,Stable
437,400,21,,4,Stable
228,377,34,24,22,Stable
134,92,29,22,43,Remission
94,236,39,,43,Remission
185,351,36,32,15,Progressing
392,249,25,4,6,Progressing
65,430,5,31,13,Stable
382,468,33,29,21,Stable
244,88,31,30,8,Progressing
58,269,24,12,46,Remission
,356,,41,22,Remission
383,53,,4,42,Remission
382,170,,,3,Stable
376,385,1,0,42,Progressing
64,126,4,9,,Progressing
376,228,10,,,Progressing
151,182,10,26,5,Remission
275,360,23,7,30,Progressing
474,278,13,2,16,Progressing
327,325,44,18,8,Remission
457,201,29,1,26,Stable
162,213,39,48,5,Stable
477,339,,30,5,Remission
50,427,43,47,,Progressing
315,158,34,9,42,Stable
257,175,20,15,2,Stable
159,289,4,36,23,Stable
249,359,37,19,17,Remission
489,467,1,2,31,Stable
418,,39,34,47,Progressing
,438,36,33,20,Remission
,394,48,20,47,Remission
394,195,33,35,28,Stable
237,301,10,31,31,Progressing
203,232,35,17,24,Remission
417,358,10,,11,Stable
383,,8,37,45,Progressing
474,121,5,2,8,Progressing
469,268,33,2,6,Remission
426,256,46,,13,Stable
,222,36,1,19,Progressing
220,,31,2,,Remission
183,,,16,9,Remission
476,263,44,45,10,Remission
74,318,31,38,38,Remission
67,69,16,37,18,Remission
,115,3,,18,Progressing
190,352,41,18,42,Remission
92,196,32,18,5,Stable
383,478,42,43,7,Stable
333,214,47,4,0,Progressing
,427,42,4,22,Remission
364,359,,13,39,Remission
493,55,33,26,36,Progressing
368,63,38,48,9,Remission
,181,29,47,1,Remission
141,391,49,35,35,Stable
228,292,19,39,1,Remission
105,488,38,34,14,Progressing
204,280,22,20,19,Stable
209,277,40,4,41,Progressing
160,211,43,,20,Progressing
186,332,,38,29,Remission
281,312,22,49,23,Remission
269,180,47,23,1,Stable
117,480,38,39,37,Progressing
351,274,22,42,21,Progressing
298,307,36,45,28,Remission
,283,22,49,,Progressing
459,385,38,12,4,Progressing
441,458,,37,23,Progressing
55,365,18,44,25,Progressing
329,73,48,0,1,Progressing
481,320,47,42,45,Stable
143,144,29,38,44,Progressing
478,191,20,9,33,Progressing
,231,23,1,22,Stable
246,255,20,15,40,Remission
74,,25,,34,Remission
197,130,49,15,,Stable
167,323,35,22,2,Stable
387,,25,25,11,Remission
,420,32,15,37,Progressing
387,495,,26,16,Progressing
115,257,,46,37,Stable
350,345,8,40,26,Progressing
419,88,7,29,18,Stable
224,485,1,32,48,Remission
368,337,28,31,47,Progressing
125,173,22,8,20,Remission
163,413,5,10,39,Progressing
160,332,42,36,23,Progressing
298,415,35,,23,Progressing
488,229,45,29,18,Stable
252,,20,39,,Remission
196,240,21,14,39,Stable
84,123,8,47,19,Stable
,496,33,29,14,Remission
75,322,25,17,39,Remission
287,98,,11,34,Stable
63,386,,3,47,Stable
423,259,43,,34,Stable
94,165,4,22,32,Remission
477,72,40,10,39,Stable
265,147,21,23,40,Remission
282,377,3,,43,Stable
242,446,47,38,,Remission
,456,1,14,,Stable
476,362,15,48,7,Progressing
424,239,15,14,19,Progressing
263,231,21,9,10,Remission
200,197,42,27,,Remission
489,391,0,35,26,Progressing
324,485,14,16,,Remission
387,72,23,35,13,Remission
125,154,3,,41,Progressing
,212,17,22,14,Stable
269,116,16,28,11,Remission
397,339,,21,19,Remission
,338,49,10,16,Stable
,95,44,35,39,Stable
338,130,9,43,25,Remission
452,478,0,28,13,Remission
77,196,1,41,24,Stable
428,271,48,31,25,Remission
229,392,21,13,46,Stable
302,,31,17,,Stable
175,428,28,37,24,Remission
226,170,34,36,26,Remission
86,127,16,33,42,Stable
459,371,11,44,11,Remission
148,344,23,22,19,Stable
147,290,29,31,15,Progressing
176,67,43,45,24,Progressing
217,305,29,2,26,Stable
129,492,19,42,,Stable
,465,41,,9,Remission
382,326,6,22,49,Stable
175,473,,3,29,Stable
392,76,,12,0,Remission
359,51,37,31,3,Remission
199,402,,28,22,Progressing
65,344,48,39,6,Stable
,,29,39,29,Stable
468,412,11,44,25,Progressing
493,432,48,,0,Stable
222,288,30,12,28,Remission
95,62,17,44,24,Stable
377,431,45,16,39,Remission
285,233,42,37,25,Stable
488,243,1,1,16,Progressing
263,105,32,16,30,Remission
134,279,10,43,7,Remission
331,77,33,25,4,Progressing
281,369,15,37,0,Remission
134,120,34,36,14,Progressing
458,259,32,4,35,Stable
114,497,20,24,6,Progressing
183,233,19,8,45,Stable
200,474,7,,43,Remission
164,424,25,21,26,Remission
113,,32,28,34,Progressing
392,90,25,34,26,Stable
476,309,36,19,,Progressing
412,490,29,4,17,Remission
456,463,30,,39,Remission
401,393,32,43,1,Stable
207,133,10,31,29,Stable
126,95,40,38,37,Remission
195,489,4,9,29,Remission
392,208,1,39,6,Stable
274,393,12,16,38,Progressing
,56,17,36,12,Progressing
362,382,25,14,32,Stable
152,,24,8,39,Stable
456,185,43,31,29,Stable
396,232,13,22,29,Remission
350,246,4,10,22,Progressing
477,221,41,12,44,Stable
137,446,1,17,23,Progressing
420,398,,,19,Remission
352,325,11,8,27,Remission
,127,10,41,18,Stable
484,465,3,,48,Stable
219,,42,42,12,Stable
184,227,8,21,15,Stable
99,76,9,31,14,Progressing
481,169,26,46,10,Stable
389,,5,1,11,Progressing
396,357,14,20,21,Remission
183,245,41,,24,Remission
396,326,30,,2,Progressing
186,67,21,23,23,Progressing
294,,5,13,24,Stable
158,320,32,36,8,Stable
362,,28,26,27,Stable
336,343,,23,,Remission
,481,29,5,29,Progressing
139,101,20,25,6,Progressing
345,265,35,14,10,Progressing
161,,21,28,9,Progressing
350,77,45,,2,Stable
126,449,19,9,18,Stable
226,301,21,27,,Progressing
,423,,8,16,Stable
197,449,10,20,28,Remission
150,84,46,,1,Stable
295,450,30,3,15,Remission
166,250,39,3,48,Remission
141,298,12,5,9,Progressing
450,148,17,25,3,Progressing
77,,21,39,42,Stable
474,189,16,15,25,Progressing
499,132,37,7,,Remission
74,97,24,27,23,Remission
107,327,,15,,Stable
,,,37,,Remission
183,297,12,48,41,Progressing
380,432,25,0,15,Stable
298,226,49,18,35,Stable
87,101,,49,34,Stable
439,128,12,16,8,Progressing
478,434,32,48,5,Remission
124,371,49,27,43,Progressing
191,113,36,43,0,Stable
371,57,37,11,13,Remission
217,263,0,5,23,Stable
308,74,38,6,9,Progressing
422,499,26,7,17,Stable
404,305,35,2,44,Progressing
274,292,31,48,8,Stable
201,247,,20,26,Stable
,143,14,7,18,Stable
195,256,,27,35,Progressing
,484,5,29,2,Progressing
290,486,24,,37,Progressing
421,,48,10,8,Progressing
430,227,17,19,9,Progressing
393,427,21,49,8,Remission
286,124,30,15,16,Stable
84,153,35,24,41,Progressing
,343,8,44,37,Remission
50,217,45,8,47,Remission
202,,2,38,48,Stable
478,164,32,48,42,Stable
482,88,26,39,19,Stable
175,413,42,39,6,Progressing
,322,0,2,3,Stable
449,184,43,15,9,Stable
275,423,,11,20,Stable
270,281,4,14,13,Remission
452,88,14,3,24,Progressing
456,340,49,22,,Stable
260,356,8,26,27,Remission
74,96,44,38,13,Progressing
65,85,27,42,12,Stable
231,369,12,36,33,Remission
378,144,,12,40,Progressing
178,410,44,42,2,Stable
91,62,9,36,3,Stable
452,,41,39,43,Remission
467,,21,20,14,Stable
385,,38,28,19,Remission
285,114,21,,7,Remission
409,277,36,48,49,Remission
488,291,38,10,4,Progressing
451,,19,49,1,Remission
83,353,9,27,27,Progressing
394,390,9,9,21,Stable
430,92,25,4,,Progressing
94,293,24,24,27,Remission
183,230,27,32,45,Stable
70,134,12,16,0,Remission
171,204,14,,35,Remission
119,,5,32,48,Stable
,72,11,24,41,Remission
410,164,18,,1,Progressing
97,355,31,,,Stable
88,484,10,26,25,Stable
,348,37,24,30,Stable
59,,32,3,40,Remission
,153,,,18,Remission
293,421,14,45,30,Stable
,100,35,,8,Progressing
493,411,4,15,2,Remission
137,161,14,,37,Remission
293,293,42,12,5,Remission
430,218,9,13,48,Progressing
378,121,16,21,44,Remission
64,188,33,20,44,Remission
53,385,,8,6,Progressing
240,280,,40,40,Progressing
,288,,3,24,Remission
58,302,2,9,24,Stable
158,485,36,34,49,Stable
186,456,2,8,0,Progressing
203,98,,47,21,Remission
437,471,4,15,19,Progressing
258,352,27,48,12,Progressing
321,121,43,17,39,Stable
192,312,,9,20,Progressing
148,371,38,20,22,Progressing
426,271,10,14,40,Remission
357,126,,14,32,Remission
,111,36,10,8,Progressing
296,206,7,39,28,Progressing
310,343,11,47,31,Remission
325,174,14,41,10,Stable
128,278,18,40,35,Remission
195,389,47,46,28,Remission
160,210,45,36,47,Remission
307,78,,19,30,Remission
,163,6,33,,Remission
62,128,39,21,49,Stable
309,72,6,47,,Remission
475,155,29,17,,Remission
158,180,17,15,21,Stable
379,406,23,4,8,Progressing
238,222,5,0,32,Stable
144,,3,18,22,Remission
154,391,2,9,34,Progressing
57,,48,20,19,Stable
116,334,46,12,,Progressing
240,51,5,23,,Stable
415,282,25,22,45,Stable
305,418,,22,29,Progressing
58,300,37,10,45,Progressing
166,483,10,46,,Progressing
316,370,28,1,21,Progressing
148,157,19,5,,Remission
347,325,9,10,0,Stable
,229,25,14,14,Remission
213,262,,8,24,Stable
425,342,26,11,19,Remission
190,121,49,35,6,Remission
317,332,13,,15,Stable
86,224,35,22,22,Remission
123,172,11,26,20,Progressing
122,276,,23,0,Progressing
357,439,20,13,46,Remission
248,493,7,34,19,Remission
179,350,38,26,46,Stable
295,477,8,20,18,Stable
361,,23,48,5,Remission
109,,30,12,37,Stable
328,,24,,31,Progressing
152,169,16,43,0,Progressing
345,114,,43,29,Progressing
369,330,28,43,15,Stable
390,332,,33,26,Stable
,440,20,41,17,Stable
206,477,7,22,,Stable
255,155,13,,43,Remission
228,462,38,0,49,Remission
246,349,15,35,27,Remission
272,156,17,45,9,Remission
138,,30,15,13,Progressing
336,196,10,,28,Stable
483,311,37,17,10,Progressing
325,458,19,33,49,Stable
285,208,45,37,26,Remission
232,314,44,,43,Progressing
258,,3,19,16,Stable
179,470,19,18,,Remission
202,204,30,12,30,Stable
,62,19,16,,Stable
171,346,10,13,32,Remission
408,433,49,29,0,Progressing
269,371,0,21,5,Stable
155,134,,42,3,Remission
424,329,17,47,21,Stable
119,294,38,42,12,Stable
244,,43,28,43,Stable
235,411,32,49,29,Progressing
148,403,35,1,39,Progressing
131,365,17,7,,Progressing
124,58,46,13,38,Progressing
,435,30,33,38,Remission
389,296,34,12,6,Progressing
241,361,38,9,,Stable
374,463,37,7,25,Remission
263,327,14,6,17,Stable
364,287,46,12,23,Progressing
493,252,,25,24,Stable
431,,7,31,49,Stable
416,284,39,18,31,Stable
367,130,21,14,5,Stable
193,405,0,,15,Progressing
433,62,12,36,2,Stable
265,376,23,18,20,Stable
410,65,,32,31,Stable
373,,44,38,,Stable
,370,42,49,46,Progressing
266,188,3,32,19,Stable
,375,6,0,,Remission
84,,11,38,17,Remission
232,,12,27,10,Stable
319,285,43,16,34,Stable
482,240,,5,35,Progressing
407,150,5,43,37,Remission
149,,13,19,11,Progressing
56,299,47,46,30,Stable
79,445,30,12,35,Remission
354,,35,11,29,Remission
193,143,36,29,43,Progressing
160,269,40,,3,Stable
281,347,,1,1,Remission
228,388,9,17,43,Progressing
121,491,,27,12,Remission
259,182,41,3,25,Stable
269,410,29,41,28,Stable
129,,43,,47,Stable
132,77,6,,35,Progressing
91,331,17,37,27,Stable
322,165,18,8,7,Progressing
240,354,14,19,4,Remission
222,283,,44,31,Stable
56,454,43,29,29,Progressing
204,50,21,36,13,Progressing
59,397,38,37,46,Progressing
83,289,41,3,42,Stable
85,107,29,37,9,Progressing
458,384,19,49,9,Stable
,232,31,12,5,Stable
457,386,41,34,15,Remission
451,75,24,29,25,Remission
264,458,22,41,20,Stable
183,126,4,,35,Remission
334,466,49,24,40,Progressing
175,266,40,30,41,Stable
458,377,29,46,29,Remission
488,374,47,11,4,Progressing
,311,38,,9,Stable
223,72,26,25,47,Progressing
,293,,9,,Stable
380,207,36,11,10,Remission
75,255,6,21,37,Progressing
432,359,4,39,6,Remission
164,136,14,20,11,Progressing
431,316,41,34,44,Progressing
333,464,7,6,48,Progressing
436,183,8,17,40,Progressing
,316,10,26,7,Remission
215,382,,34,27,Progressing
238,317,33,46,15,Remission
127,499,34,1,2,Progressing
484,102,12,31,36,Stable
139,148,10,14,31,Stable
225,296,31,44,20,Progressing
70,85,,23,44,Stable
103,450,14,19,17,Progressing
233,,,,47,Remission
408,,0,23,45,Stable
271,455,45,23,10,Progressing
364,151,49,23,49,Progressing
377,312,23,39,7,Remission
228,320,42,47,11,Remission
325,273,39,47,1,Progressing
161,188,21,33,40,Progressing
273,329,2,40,21,Progressing
263,335,13,39,8,Progressing
108,299,1,10,13,Progressing
376,371,31,25,14,Progressing
442,,47,,10,Remission
158,127,37,29,12,Stable
434,346,32,42,27,Progressing
206,387,45,17,24,Progressing
240,356,41,25,36,Remission
249,477,5,46,,Stable
361,400,40,8,36,Remission
245,62,,8,32,Remission
84,395,24,0,24,Progressing
428,445,33,6,49,Progressing
436,131,10,43,22,Remission
295,58,45,41,7,Progressing
286,262,,15,16,Progressing
153,97,40,37,30,Progressing
56,,6,10,25,Stable
332,358,45,24,10,Stable
50,489,47,28,29,Progressing
,89,,18,10,Remission
279,412,47,17,2,Stable
221,329,38,46,39,Remission
136,275,9,28,39,Progressing
90,157,20,15,20,Remission
172,294,5,45,34,Remission
,304,48,39,27,Stable
347,82,0,7,21,Remission
422,72,33,33,41,Remission
466,382,13,5,45,Stable
,103,35,44,17,Progressing
112,358,26,44,22,Remission
214,98,8,29,25,Progressing
236,127,5,43,,Progressing
,385,30,33,28,Progressing
258,482,16,20,45,Stable
276,,42,11,10,Progressing
481,171,35,48,41,Remission
438,493,20,5,45,Progressing
97,408,26,38,0,Progressing
273,,40,5,15,Progressing
52,395,27,3,24,Remission
421,242,15,,37,Progressing
224,465,34,4,17,Progressing
,426,35,9,15,Progressing
148,293,34,46,18,Stable
165,198,44,7,15,Remission
319,195,,22,4,Stable
496,365,20,3,26,Remission
417,427,32,36,43,Progressing
,190,22,,5,Remission
366,457,5,5,,Remission
464,335,31,44,15,Remission
144,435,,41,22,Remission
322,388,2,14,42,Stable
429,160,34,34,43,Remission
73,157,15,49,31,Stable
165,416,41,31,42,Stable
200,330,,13,22,Progressing
387,99,16,34,19,Remission
99,63,38,10,18,Progressing
255,,12,9,28,Remission
384,125,27,16,7,Stable
128,133,10,12,28,Stable
119,392,9,33,17,Stable
76,207,38,44,4,Remission
320,335,23,4,11,Remission
99,471,37,47,9,Remission
341,363,23,9,46,Remission
296,143,32,31,36,Remission
313,346,16,11,16,Progressing
128,143,43,12,31,Remission
436,106,35,20,3,Progressing
239,213,34,47,30,Remission
96,369,,32,25,Remission
410,147,15,40,11,Remission
403,65,44,47,17,Remission
401,393,27,46,,Stable
238,127,40,49,31,Stable
465,395,31,31,19,Progressing
305,121,25,11,48,Progressing
271,319,10,45,39,Remission
421,336,24,34,12,Remission
290,115,30,35,22,Remission
318,417,20,37,2,Remission
50,,44,47,34,Stable
83,242,2,27,38,Progressing
495,104,11,12,49,Progressing
128,428,,11,,Progressing
285,,45,21,6,Stable
383,458,40,43,25,Remission
426,74,24,1,22,Stable
398,180,16,28,31,Stable
,,37,12,1,Progressing
131,151,35,34,38,Stable
464,423,35,12,,Progressing
241,,18,33,,Stable
302,,43,18,,Progressing
458,343,1,8,14,Progressing
87,471,16,30,,Remission
63,312,29,32,25,Progressing
441,463,46,26,7,Stable
396,169,9,44,15,Progressing
359,452,,1,20,Stable
435,280,35,14,38,Progressing
258,340,32,18,10,Remission
,,0,30,,Remission
138,210,17,15,35,Stable
105,127,3,42,17,Progressing
143,87,46,14,22,Stable
142,,26,5,12,Remission
389,490,24,13,48,Stable
134,77,,,43,Stable
494,149,21,37,49,Progressing
294,343,,,41,Remission
71,449,24,36,38,Remission
,173,,42,43,Progressing
321,,43,3,43,Progressing
355,141,11,25,44,Progressing
171,,,,0,Remission
177,146,36,,6,Remission
162,55,15,48,47,Progressing
476,218,16,39,47,Stable
322,432,30,14,20,Remission
385,320,14,40,15,Progressing
491,157,12,36,47,Progressing
179,436,39,3,13,Stable
181,348,26,25,42,Progressing
134,96,20,17,42,Stable
472,148,1,40,1,Stable
399,,7,34,30,Remission
439,243,41,40,38,Progressing
,206,6,40,,Remission
374,437,9,28,40,Remission
118,203,3,23,13,Remission
197,164,42,3,9,Progressing
,445,40,20,47,Progressing
,307,,38,23,Progressing
356,194,34,6,49,Remission
154,340,42,22,32,Stable
214,59,2,,33,Remission
,417,17,20,19,Stable
246,263,,0,27,Progressing
475,282,42,40,3,Progressing
234,220,23,24,33,Remission
371,70,31,30,3,Stable
,64,33,43,,Progressing
412,468,1,37,21,Progressing
149,417,,44,3,Remission
391,175,9,4,49,Remission
369,390,22,30,4,Remission
263,390,14,0,10,Stable
327,262,11,29,44,Stable
211,237,42,17,34,Progressing
488,221,16,7,18,Remission
206,296,17,25,10,Progressing
471,54,13,,,Stable
300,280,16,14,,Progressing
415,250,14,18,1,Progressing
146,422,11,9,46,Remission
67,451,15,23,7,Progressing
376,198,31,,33,Remission
498,121,22,42,39,Progressing
432,275,37,,19,Progressing
146,123,33,43,22,Stable
50,356,,15,14,Stable
265,218,15,15,47,Progressing
181,,33,27,12,Progressing
309,329,39,,,Remission
174,201,6,34,48,Stable
131,273,32,8,45,Stable
332,274,3,39,13,Progressing
220,,42,9,0,Remission
108,93,6,44,26,Stable
81,234,17,,32,Progressing
210,492,3,44,34,Progressing
333,290,48,44,14,Progressing
155,467,10,14,4,Progressing
154,,42,44,36,Progressing
488,400,19,29,3,Stable
277,,10,47,,Stable
237,72,,31,19,Remission
